Tipo,Fecha,Detonante,Fuente,Incertidum,Numeracion,Cluster,Margenes,Nacimiento,Vias_Princ,Vias_Secun,Sin_Clasif,Geohazards,SIMMA,Categoria
Landslide,2002-04-20,Rainfall,Bomberos Envigado,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2009-05-04,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2009-06-30,Rainfall,Ogr,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2021-11-19,Rainfall,Guardianes Antioquia,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1996-06-05,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1997-01-22,Rainfall,Bomberos de Envigado,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,1999-12-11,Rainfall,Bomberos de Envigado,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1996-06-05,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,1999-12-16,Rainfall,Bomberos de Envigado,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2000-11-17,Rainfall,Bomberos Envigado,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2002-05-24,Rainfall,Bomberos Envigado,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2011-06-05,Rainfall,P,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1997-06-11,Rainfall,Bomberos de Envigado,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2000-11-05,Rainfall,Bomberos Envigado,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2002-04-20,Rainfall,Bomberos Envigado,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2002-09-19,Rainfall,Bomberos Itagüí,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2006-06-02,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2021-10-14,Rainfall,Blu Radio,Low,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2002-09-18,Rainfall,Bomberos Envigado,Mid,6,0,0,0,0,0,0,1,0,GH
